trial,struct,time,l,un,order,baserate,mag,session,subject,block
62,2,2,-100,61,2,1,60,D,1,3
63,2,1,35,17,1,3,40,D,1,3
63,2,2,-100,17,1,3,40,D,1,3
64,1,1,29,22,1,1,60,D,1,3
64,1,2,15,-7,2,1,60,D,1,3
65,0,1,-100,-100,2,1,0,D,1,3
65,0,2,-100,-100,1,1,0,D,1,3
66,1,1,21,15,1,1,20,D,1,3
66,1,2,16,-7,2,1,20,D,1,3
67,2,1,11,13,1,1,20,D,1,4
67,2,2,-100,36,2,1,20,D,1,4
68,1,1,56,60,2,3,80,D,1,4
68,1,2,65,-27,2,3,80,D,1,4
69,2,1,49,47,2,3,100,D,1,4
69,2,2,-100,55,2,3,100,D,1,4
70,2,1,60,57,1,3,80,D,1,4
70,2,2,-100,57,2,3,80,D,1,4
71,1,1,33,27,1,1,40,D,1,4
71,1,2,49,-27,1,1,40,D,1,4
72,1,1,69,65,1,1,80,D,1,4
72,1,2,81,-9,1,1,80,D,1,4
73,1,1,60,66,2,3,100,D,1,4
73,1,2,76,0,1,3,100,D,1,4
74,2,1,67,68,1,1,100,D,1,4
74,2,2,-100,61,2,1,100,D,1,4
75,1,1,53,54,1,1,60,D,1,4
75,1,2,61,-6,2,1,60,D,1,4
76,2,1,63,61,2,1,80,D,1,4
76,2,2,-100,83,2,1,80,D,1,4
77,0,1,-100,-100,1,3,0,D,1,4
77,0,2,-100,-100,1,3,0,D,1,4
78,1,1,68,65,1,1,100,D,1,4
78,1,2,86,-6,2,1,100,D,1,4
79,2,1,-11,-15,1,3,20,D,1,4
79,2,2,-100,-4,2,3,20,D,1,4
80,2,1,69,72,2,1,60,D,1,4
80,2,2,-100,88,2,1,60,D,1,4
81,0,1,-100,-100,2,1,0,D,1,4
81,0,2,-100,-100,1,1,0,D,1,4
82,1,1,-13,-12,2,3,20,D,1,4
82,1,2,-22,-42,2,3,20,D,1,4
83,1,1,19,18,2,3,40,D,1,4
83,1,2,28,-5,2,3,40,D,1,4
84,2,1,55,61,2,1,40,D,1,4
84,2,2,-100,62,1,1,40,D,1,4
85,2,1,50,50,1,3,40,D,1,4
85,2,2,-100,81,2,3,40,D,1,4
86,2,1,55,51,2,3,60,D,1,4
86,2,2,-100,63,1,3,60,D,1,4
87,1,1,8,9,1,1,20,D,1,4
87,1,2,8,-15,1,1,20,D,1,4
88,1,1,50,48,2,3,60,D,1,4
88,1,2,61,-24,2,3,60,D,1,4
89,1,1,39,31,2,3,60,D,1,5
89,1,2,46,-13,1,3,60,D,1,5
90,1,1,61,63,1,3,80,D,1,5
90,1,2,74,-22,2,3,80,D,1,5
91,2,1,52,60,2,3,60,D,1,5
91,2,2,-100,84,2,3,60,D,1,5
92,1,1,59,60,2,1,60,D,1,5
92,1,2,60,-19,2,1,60,D,1,5
93,2,1,40,47,2,3,80,D,1,5
93,2,2,-100,59,2,3,80,D,1,5
94,2,1,0,1,1,1,20,D,1,5
94,2,2,-100,33,2,1,20,D,1,5
95,1,1,69,61,2,3,100,D,1,5
95,1,2,80,-78,1,3,100,D,1,5
96,2,1,26,33,1,3,40,D,1,5
96,2,2,-100,-100,1,3,40,D,1,5
97,2,1,35,39,2,1,40,D,1,5
97,2,2,34,-100,2,1,40,D,1,5
98,1,1,0,0,1,1,20,D,1,5
98,1,2,15,-13,1,1,20,D,1,5
99,2,1,46,50,2,3,100,D,1,5
99,2,2,-69,67,2,3,100,D,1,5
100,2,1,46,51,1,1,60,D,1,5
100,2,2,-100,68,2,1,60,D,1,5
101,0,1,-100,-100,2,1,0,D,1,5
101,0,2,-100,-100,2,1,0,D,1,5
102,1,1,0,0,1,3,20,D,1,5
102,1,2,-4,0,2,3,20,D,1,5
103,2,1,-11,-6,2,3,20,D,1,5
103,2,2,-100,0,2,3,20,D,1,5
104,0,1,-100,-100,2,3,0,D,1,5
104,0,2,-100,-100,2,3,0,D,1,5
105,1,1,47,45,1,1,40,D,1,5
105,1,2,50,-39,1,1,40,D,1,5
106,1,1,-6,74,2,1,80,D,1,5
106,1,2,88,34,1,1,80,D,1,5
107,1,1,34,34,2,3,40,D,1,5
107,1,2,52,-7,2,3,40,D,1,5
108,2,1,65,67,2,1,100,D,1,5
108,2,2,-100,71,2,1,100,D,1,5
109,1,1,59,57,1,1,100,D,1,5
109,1,2,63,-13,2,1,100,D,1,5
110,2,1,63,56,1,1,80,D,1,5
110,2,2,-100,94,2,1,80,D,1,5
1,1,1,28,27,2,3,80,H,1,1
1,1,2,36,-54,1,3,80,H,1,1
2,1,1,43,43,1,3,100,H,1,1
2,1,2,68,-49,1,3,100,H,1,1
3,2,1,29,25,2,1,40,H,1,1
3,2,2,-100,56,1,1,40,H,1,1
4,2,1,14,15,2,3,40,H,1,1
4,2,2,-100,59,1,3,40,H,1,1
5,1,1,84,76,1,1,100,H,1,1
5,1,2,55,-38,2,1,100,H,1,1
6,2,1,49,46,2,1,80,H,1,1
6,2,2,-79,77,2,1,80,H,1,1
7,2,1,48,48,2,3,100,H,1,1
7,2,2,-100,50,1,3,100,H,1,1
8,1,1,27,28,2,1,40,H,1,1
8,1,2,21,-45,2,1,40,H,1,1
9,2,1,40,47,1,1,60,H,1,1
9,2,2,-100,77,2,1,60,H,1,1
10,1,1,0,0,2,3,20,H,1,1
10,1,2,0,0,2,3,20,H,1,1
11,2,1,13,16,1,3,60,H,1,1
11,2,2,-100,0,1,3,60,H,1,1
12,2,1,41,52,2,1,100,H,1,1
12,2,2,-100,9,2,1,100,H,1,1
13,1,1,0,0,1,1,20,H,1,1
13,1,2,0,-3,1,1,20,H,1,1
14,1,1,11,9,2,3,60,H,1,1
14,1,2,55,-12,2,3,60,H,1,1
15,1,1,83,86,2,1,80,H,1,1
15,1,2,87,78,2,1,80,H,1,1
16,1,1,0,0,1,3,40,H,1,1
16,1,2,0,0,1,3,40,H,1,1
17,0,1,-100,-100,2,3,0,H,1,1
17,0,2,-100,-100,2,3,0,H,1,1
18,1,1,65,61,2,1,60,H,1,1
18,1,2,76,1,1,1,60,H,1,1
19,0,1,-100,-100,2,1,0,H,1,1
19,0,2,-100,-100,1,1,0,H,1,1
20,2,1,24,30,1,1,20,H,1,1
20,2,2,-100,35,2,1,20,H,1,1
21,2,1,65,68,1,3,80,H,1,1
21,2,2,-100,31,1,3,80,H,1,1
22,2,1,9,15,2,3,20,H,1,1
22,2,2,-100,9,1,3,20,H,1,1
23,1,1,23,25,1,1,40,H,1,2
23,1,2,28,-12,1,1,40,H,1,2
24,1,1,32,29,2,1,20,H,1,2
24,1,2,47,-49,2,1,20,H,1,2
25,2,1,-1,1,2,1,40,H,1,2
25,2,2,-100,0,1,1,40,H,1,2
26,2,1,53,54,1,1,60,H,1,2
26,2,2,93,-100,2,1,60,H,1,2
27,2,1,55,59,1,1,100,H,1,2
27,2,2,-98,90,2,1,100,H,1,2
28,2,1,20,30,1,3,60,H,1,2
28,2,2,-100,46,1,3,60,H,1,2
29,2,1,79,82,1,3,80,H,1,2
29,2,2,-100,74,2,3,80,H,1,2
30,1,1,21,27,1,3,40,H,1,2
30,1,2,45,0,1,3,40,H,1,2
31,2,1,0,0,2,1,20,H,1,2
31,2,2,39,-100,2,1,20,H,1,2
32,1,1,43,41,1,3,60,H,1,2
32,1,2,49,1,1,3,60,H,1,2
33,2,1,75,75,1,1,80,H,1,2
33,2,2,-100,93,1,1,80,H,1,2
34,2,1,60,45,2,3,100,H,1,2
34,2,2,-100,74,2,3,100,H,1,2
35,1,1,55,62,1,3,100,H,1,2
35,1,2,83,-69,1,3,100,H,1,2
36,1,1,25,17,2,1,60,H,1,2
36,1,2,53,5,1,1,60,H,1,2
37,1,1,65,68,1,1,100,H,1,2
37,1,2,98,12,1,1,100,H,1,2
38,2,1,-52,-51,2,3,20,H,1,2
38,2,2,-100,-64,1,3,20,H,1,2
39,0,1,-100,-100,1,1,0,H,1,2
39,0,2,-100,-100,2,1,0,H,1,2
40,1,1,1,2,1,3,20,H,1,2
40,1,2,-12,-69,2,3,20,H,1,2
41,1,1,49,46,2,3,80,H,1,2
41,1,2,84,-71,1,3,80,H,1,2
42,1,1,59,56,2,1,80,H,1,2
42,1,2,69,-35,2,1,80,H,1,2
43,2,1,0,0,1,3,40,H,1,2
43,2,2,-100,0,2,3,40,H,1,2
44,0,1,-100,-100,1,3,0,H,1,2
44,0,2,-100,-100,1,3,0,H,1,2
45,1,1,58,69,1,3,60,H,1,3
45,1,2,59,-23,2,3,60,H,1,3
46,2,1,65,73,1,3,80,H,1,3
46,2,2,-100,82,1,3,80,H,1,3
47,2,1,48,57,1,1,80,H,1,3
47,2,2,-100,-100,1,1,80,H,1,3
48,0,1,-100,-100,1,1,0,H,1,3
48,0,2,-78,20,1,1,0,H,1,3
49,2,1,61,51,2,3,60,H,1,3
49,2,2,-100,68,2,3,60,H,1,3
50,2,1,65,64,1,3,40,H,1,3
50,2,2,68,66,2,3,40,H,1,3
51,1,1,60,61,2,1,60,H,1,3
51,1,2,71,-78,2,1,60,H,1,3
52,2,1,-42,-32,2,3,20,H,1,3
52,2,2,-100,20,1,3,20,H,1,3
