subject,session,block,problem,l_r1,l_r2,un_r1,un_r2,post_2cause,struct
3,2,2,5,52,-100,57,100,1,2
3,2,3,1,50,100,52,4,1,1
3,2,3,2,54,100,54,-1,1,1
3,2,3,3,-100,100,-100,2,1,1
3,2,3,4,51,100,53,2,1,1
3,2,4,1,3,100,100,100,2,3
3,2,4,2,1,100,100,100,2,3
3,2,4,3,3,100,100,100,2,3
3,2,4,4,3,100,3,100,2,3
3,2,5,1,52,100,51,2,2,1
3,2,5,2,50,100,50,1,2,1
3,2,5,3,49,100,55,4,2,1
3,2,5,4,53,100,50,4,2,1
3,2,6,1,55,-100,51,99,2,2
3,2,6,2,53,-100,51,100,2,2
3,2,6,3,49,-100,53,100,2,2
3,2,6,4,100,-100,2,100,2,2
3,2,7,1,49,100,49,1,2,1
3,2,7,2,52,100,54,1,2,1
3,2,7,3,55,100,46,9,2,1
4,1,1,1,11,100,20,-17,1,1
4,1,1,2,-9,100,7,9,1,1
4,1,1,3,20,100,16,-8,1,1
4,1,2,1,17,-100,12,13,1,2
4,1,2,2,24,-100,18,48,1,2
4,1,2,3,18,-100,26,58,1,2
4,1,3,1,21,100,29,-20,1,1
4,1,3,2,31,100,29,-38,1,1
4,1,3,3,42,100,36,-23,1,1
4,1,3,4,32,100,19,-32,1,1
4,1,3,5,26,100,28,-44,1,1
4,1,4,1,-22,100,62,78,2,3
4,1,4,2,-17,100,82,100,2,3
4,1,4,3,-3,100,83,100,2,3
4,1,4,4,-9,100,58,97,2,3
4,1,5,1,22,100,19,-17,2,1
4,1,5,2,30,100,30,-28,2,1
4,1,5,3,34,100,32,-17,2,1
4,1,5,4,25,100,29,-22,2,1
4,1,5,5,34,100,33,-20,2,1
4,1,6,1,27,-100,28,96,2,2
4,1,6,2,32,-100,35,100,2,2
4,1,6,3,32,-100,35,96,2,2
4,1,7,1,47,100,48,-14,2,1
4,1,7,2,48,100,45,-12,2,1
4,1,7,3,46,100,54,-17,2,1
4,1,7,4,46,100,45,-10,2,1
4,1,7,5,48,100,44,-14,2,1
4,2,1,1,46,100,45,-20,1,1
4,2,1,2,50,100,48,-19,1,1
4,2,1,3,49,100,52,-22,1,1
4,2,1,4,50,100,52,-25,1,1
4,2,2,1,51,-100,44,96,1,2
4,2,2,2,50,-100,48,94,1,2
4,2,2,3,50,-100,49,100,1,2
4,2,2,4,48,-100,49,100,1,2
4,2,3,1,54,100,49,-25,1,1
4,2,3,2,46,100,48,-25,1,1
4,2,3,3,50,100,48,-23,1,1
4,2,3,4,54,100,51,-15,1,1
4,2,4,1,0,100,83,95,2,3
4,2,4,2,-4,100,92,96,2,3
4,2,4,3,0,100,97,100,2,3
4,2,4,4,-13,100,94,99,2,3
4,2,5,1,51,100,49,-15,2,1
4,2,5,2,50,100,51,0,2,1
4,2,5,3,47,100,49,1,2,1
4,2,6,1,51,-100,46,100,2,2
4,2,6,2,52,-100,49,100,2,2
4,2,6,3,53,-100,51,100,2,2
4,2,6,4,52,-100,50,100,2,2
4,2,6,5,49,-100,51,100,2,2
4,2,7,1,50,100,53,0,2,1
4,2,7,2,57,100,50,-7,2,1
4,2,7,3,50,100,52,-8,2,1
5,1,1,1,-99,100,43,-100,1,1
5,1,1,2,44,100,40,-100,1,1
5,1,1,3,42,100,40,-50,1,1
5,1,1,4,47,100,43,-47,1,1
5,1,1,5,-26,100,68,-73,1,1
5,1,2,1,44,-100,43,100,1,2
5,1,2,2,41,-100,42,100,1,2
5,1,2,3,52,-100,49,100,1,2
5,1,3,1,44,100,47,-66,1,1
5,1,3,2,50,100,47,-57,1,1
5,1,3,3,49,100,50,-51,1,1
5,1,4,1,-54,100,100,100,2,3
5,1,4,2,-48,100,99,100,2,3
5,1,4,3,-50,100,100,100,2,3
5,1,4,4,-44,100,100,100,2,3
5,1,4,5,-50,100,100,100,2,3
5,1,5,1,48,100,51,-51,2,1
5,1,5,2,51,100,46,-53,2,1
5,1,5,3,49,100,42,-55,2,1
5,1,5,4,52,100,52,-54,2,1
5,1,6,1,45,-100,100,100,2,2
5,1,6,2,42,-100,51,98,2,2
5,1,6,3,50,-100,50,100,2,2
5,1,6,4,72,-100,21,100,2,2
5,1,6,5,49,-100,48,100,2,2
5,1,7,1,53,100,50,-55,2,1
5,1,7,2,46,100,51,-51,2,1
5,1,7,3,52,100,60,-41,2,1
5,1,7,4,48,100,47,-48,2,1
5,1,7,5,48,100,50,-61,2,1
5,2,1,1,50,100,48,-53,1,1
5,2,1,2,52,100,48,-43,1,1
5,2,1,3,45,100,56,-48,1,1
5,2,1,4,59,100,52,-44,1,1
5,2,2,1,51,-100,43,100,1,2
5,2,2,2,44,-100,49,100,1,2
5,2,2,3,50,-100,48,100,1,2
5,2,2,4,46,-100,53,100,1,2
5,2,3,1,50,100,51,-26,1,1
5,2,3,2,49,100,41,-51,1,1
5,2,3,3,51,100,49,-50,1,1
5,2,4,1,-57,100,100,100,2,3
5,2,4,2,1,100,100,100,2,3
5,2,4,3,0,100,0,100,2,3
5,2,4,4,1,100,100,100,2,3
5,2,5,1,-52,100,-46,100,2,1
5,2,5,2,46,100,45,-47,2,1
5,2,5,3,40,100,49,-54,2,1
5,2,5,4,49,100,53,-64,2,1
5,2,5,5,50,100,50,-47,2,1
5,2,6,1,47,-100,50,100,2,2
5,2,6,2,56,-100,46,100,2,2
5,2,6,3,53,-100,48,100,2,2
5,2,6,4,48,-100,44,100,2,2
5,2,6,5,49,-100,51,100,2,2
5,2,7,1,51,100,47,-47,2,1
5,2,7,2,47,100,50,-45,2,1
5,2,7,3,47,100,45,-45,2,1
6,1,1,1,53,100,48,53,1,1
6,1,1,2,52,100,62,60,1,1
6,1,1,3,46,100,18,20,1,1
6,1,2,1,49,-100,52,100,1,2
6,1,2,2,52,-100,55,100,1,2
6,1,2,3,53,-100,55,100,1,2
6,1,3,1,62,100,52,51,1,1
6,1,3,2,53,100,58,38,1,1
6,1,3,3,63,100,51,51,1,1
6,1,3,4,44,100,50,0,1,1
6,1,3,5,62,100,60,81,1,1
6,1,4,1,78,100,100,100,2,3
6,1,4,2,71,100,92,100,2,3
6,1,4,3,13,100,100,100,2,3
6,1,4,4,100,100,100,100,2,3
6,1,4,5,32,100,99,100,2,3
6,1,5,1,61,100,100,59,2,1
6,1,5,2,52,100,51,57,2,1
6,1,5,3,47,100,50,55,2,1
6,1,5,4,43,100,65,46,2,1
6,1,6,1,61,-100,57,57,2,2
6,1,6,2,75,-100,50,60,2,2
6,1,6,3,70,-100,98,52,2,2
6,1,6,4,56,-100,65,50,2,2
6,1,6,5,61,-100,52,48,2,2
6,1,7,1,65,100,60,51,2,1
6,1,7,2,52,100,55,52,2,1
6,1,7,3,51,100,49,53,2,1
6,1,7,4,65,100,54,54,2,1
6,1,7,5,63,100,77,42,2,1
6,2,1,1,53,100,45,35,1,1
6,2,1,2,48,100,49,44,1,1
6,2,1,3,49,100,56,54,1,1
6,2,1,4,41,100,42,44,1,1
6,2,2,1,47,-100,54,100,1,2
6,2,2,2,50,-100,49,100,1,2
6,2,2,3,36,-100,39,100,1,2
6,2,2,4,49,-100,50,50,1,2
6,2,2,5,49,-100,54,100,1,2
6,2,3,1,53,100,48,35,1,1
6,2,3,2,49,100,59,49,1,1
6,2,3,3,38,100,41,21,1,1
6,2,3,4,49,100,61,31,1,1
6,2,3,5,54,100,48,50,1,1
6,2,4,1,39,100,100,100,2,3
6,2,4,2,58,100,100,60,2,3
6,2,4,3,51,100,52,60,2,3
6,2,4,4,6,100,0,98,2,3
6,2,5,1,49,100,100,40,2,1
6,2,5,2,64,100,57,53,2,1
6,2,5,3,44,100,52,30,2,1
6,2,5,4,42,100,37,43,2,1
6,2,5,5,46,100,46,51,2,1
6,2,6,1,45,-100,61,51,2,2
6,2,6,2,44,-100,49,54,2,2
6,2,6,3,38,-100,44,100,2,2
6,2,7,1,54,100,42,37,2,1
6,2,7,2,50,100,56,49,2,1
6,2,7,3,57,100,50,50,2,1
7,1,1,1,45,100,41,0,1,1
7,1,1,2,45,100,41,0,1,1
7,1,1,3,45,100,41,0,1,1
7,1,1,4,49,100,43,0,1,1
7,1,2,1,-47,-100,-41,-22,1,2
7,1,2,2,43,-100,37,100,1,2
7,1,2,3,41,-100,42,100,1,2
7,1,2,4,47,-100,52,100,1,2
7,1,3,1,46,100,51,0,1,1
7,1,3,2,68,100,61,0,1,1
7,1,3,3,47,100,48,0,1,1
7,1,4,1,0,100,85,100,2,3
7,1,4,2,-14,100,81,99,2,3
7,1,4,3,0,100,43,100,2,3
7,1,4,4,0,100,73,100,2,3
7,1,4,5,20,100,52,97,2,3
7,1,5,1,55,100,55,70,2,1
7,1,5,2,62,100,59,52,2,1
